source,segment,flag,start,end,duration,axis,input_axis,slope,intercept,r2,n,mean_k_ctrl
target,OFF,0,0.025400000000018963,8.572600000000023,8.547200000000004,x,u_x,0.9031032360961662,0.30622140543890075,0.7763403884832042,2329,
target,OFF,0,0.025400000000018963,8.572600000000023,8.547200000000004,y,u_y,0.6971727135639345,0.17067878534570136,0.9065404819441722,2329,
target,OFF,0,0.025400000000018963,8.572600000000023,8.547200000000004,z,u_z,0.8470632274212059,0.41099693639811175,0.7397384828333837,2329,
target,ON,1,8.572600000000023,20.466000000000008,11.893399999999986,x,u_x,0.9339371921580956,0.3068280274000189,0.8719398533786648,3255,
target,ON,1,8.572600000000023,20.466000000000008,11.893399999999986,y,u_y,0.9776343260095401,0.19278870554197952,0.9551060382570812,3255,
target,ON,1,8.572600000000023,20.466000000000008,11.893399999999986,z,u_z,0.9346496419440007,0.40801837076113645,0.873605004652763,3255,
current,OFF,0,0.025400000000018963,8.572600000000023,8.547200000000004,x,u_x,0.021772718316667095,0.3039668099523924,0.040913193272487436,2329,
current,OFF,0,0.025400000000018963,8.572600000000023,8.547200000000004,y,u_y,0.6463000124836037,0.1716677101338133,0.8744556097336793,2329,
current,OFF,0,0.025400000000018963,8.572600000000023,8.547200000000004,z,u_z,0.03715252315726777,0.41497942030300555,0.0768308803189317,2329,
current,ON,1,8.572600000000023,20.466000000000008,11.893399999999986,x,u_x,0.03444956226627835,0.30216006006612817,0.03688716671810366,3255,
current,ON,1,8.572600000000023,20.466000000000008,11.893399999999986,y,u_y,0.685270452846536,0.12644661952897185,0.6723208380766756,3255,
current,ON,1,8.572600000000023,20.466000000000008,11.893399999999986,z,u_z,0.04321415472803457,0.41477721073468193,0.05169281478303245,3255,
ee,OFF,0,0.025400000000018963,8.572600000000023,8.547200000000004,x,u_x,0.011435355850839119,0.30623795598586195,0.008787758869756579,2469,
ee,OFF,0,0.025400000000018963,8.572600000000023,8.547200000000004,y,u_y,0.633369710015368,0.17348607744152564,0.8641758534768746,2469,
ee,OFF,0,0.025400000000018963,8.572600000000023,8.547200000000004,z,u_z,0.03422724009808888,0.4100103026151059,0.05348736158882095,2469,
ee,ON,1,8.572600000000023,20.466000000000008,11.893399999999986,x,u_x,0.0253573589632813,0.30424916841278954,0.012381001288265026,3386,
ee,ON,1,8.572600000000023,20.466000000000008,11.893399999999986,y,u_y,0.6819192377996384,0.12625897812214204,0.6514401022681717,3386,
ee,ON,1,8.572600000000023,20.466000000000008,11.893399999999986,z,u_z,0.0254901163564037,0.41096980370611325,0.01767878470736739,3386,
