source,segment,flag,start,end,duration,axis,input_axis,slope,intercept,r2,n,mean_k_ctrl
target,OFF,0,20.223399999999998,32.35379999999999,12.130399999999995,x,u_x,0.9944785764612678,0.25450111409474285,0.9872613245063298,3027,
target,OFF,0,20.223399999999998,32.35379999999999,12.130399999999995,y,u_y,0.99337322720908,0.10108859736679808,0.9854736109887721,3027,
target,OFF,0,20.223399999999998,32.35379999999999,12.130399999999995,z,u_z,0.9677461657676909,0.5163865730201517,0.9358548768171715,3027,
target,ON,1,7.7226,20.223399999999998,12.500799999999998,x,u_x,0.5014945565674149,0.26191363910617893,0.6101196906602754,3036,
target,ON,1,7.7226,20.223399999999998,12.500799999999998,y,u_y,0.8556568516875903,-0.0056347638525047145,0.33761893032447887,3036,
target,ON,1,7.7226,20.223399999999998,12.500799999999998,z,u_z,0.4372009573740997,0.4845214441830607,0.3163329451834316,3036,
current,OFF,0,20.223399999999998,32.35379999999999,12.130399999999995,x,u_x,0.898293398052536,0.2564400220545583,0.9158843153744642,3027,
current,OFF,0,20.223399999999998,32.35379999999999,12.130399999999995,y,u_y,0.9257067678657461,0.10243641814122344,0.9465324608960856,3027,
current,OFF,0,20.223399999999998,32.35379999999999,12.130399999999995,z,u_z,0.7637549080580172,0.5283940032433079,0.7585425127166058,3027,
current,ON,1,7.7226,20.223399999999998,12.500799999999998,x,u_x,0.39767075445086986,0.25913306864330676,0.4531332055700261,3036,
current,ON,1,7.7226,20.223399999999998,12.500799999999998,y,u_y,0.6667177986250747,-0.005294560922855872,0.22311908808707281,3036,
current,ON,1,7.7226,20.223399999999998,12.500799999999998,z,u_z,0.3007797497037341,0.4809972407632773,0.18661093238520765,3036,
ee,OFF,0,20.223399999999998,32.35379999999999,12.130399999999995,x,u_x,0.892960031841809,0.25900426510506913,0.8770689785536558,3499,
ee,OFF,0,20.223399999999998,32.35379999999999,12.130399999999995,y,u_y,0.9220444493861859,0.10400751166751158,0.9369288434044054,3499,
ee,OFF,0,20.223399999999998,32.35379999999999,12.130399999999995,z,u_z,0.7584974774559146,0.5254563292187656,0.7421458152919138,3499,
ee,ON,1,7.7226,20.223399999999998,12.500799999999998,x,u_x,0.36932850900681774,0.260154246389493,0.3747045623842914,3576,
ee,ON,1,7.7226,20.223399999999998,12.500799999999998,y,u_y,0.6419593852234594,-0.005579488948735347,0.2096082254706526,3576,
ee,ON,1,7.7226,20.223399999999998,12.500799999999998,z,u_z,0.30388397481882595,0.4775394800606147,0.1847016732593415,3576,
