t,x,y,z,qx,qy,qz,qw,u_x,u_y,u_z,delta_x,delta_y,delta_z,flag,k_ctrl,x_rel,y_rel,z_rel,u_norm,p_rel_norm
0.015199999999992997,0.26284166798522907,0.12019640098085767,0.42391825174972175,-0.0018439792653128474,0.008712530262553577,-0.000643674480982391,0.9999601378255313,0.0068017845153808595,0.11927988433837891,0.004054027557373047,-119.2798843383789,4.054027557373047,-6.801784515380859,0.0,,0.0,0.0,0.0,0.11954242016876966,0.0
0.019200000000012096,0.26284166359303274,0.12019641527730607,0.4239182953001483,-0.0018439431977755063,0.008712465069296441,-0.0006436742813935866,0.9999601384601884,0.0068017845153808595,0.11927988433837891,0.004054027557373047,-119.2798843383789,4.054027557373047,-6.801784515380859,0.0,,-4.392196328861786e-09,1.4296448400119566e-08,4.355042654280439e-08,0.11954242016876966,4.604692690624152e-08
0.023200000000002774,0.26284153055673126,0.12019633160075797,0.42391843944370244,-0.0018438134281081587,0.008712230714878953,-0.0006437629566743973,0.9999601406842518,0.0068017845153808595,0.11927988433837891,0.004054027557373047,-119.2798843383789,4.054027557373047,-6.801784515380859,0.0,,-1.3742849780395971e-07,-6.93800996931504e-08,1.8769398069107268e-07,0.11954242016876966,2.427534152792607e-07
0.02600000000001046,0.26284169680341907,0.12019641931860864,0.42391825774890945,-0.0018439850415284064,0.008712528783079987,-0.0006438234467783163,0.9999601377318698,0.0068017845153808595,0.11927988433837891,0.004054027557373047,-119.2798843383789,4.054027557373047,-6.801784515380859,0.0,,2.8818190001000943e-08,1.83377509704874e-08,5.999187702165898e-09,0.11954242016876966,3.468070700944865e-08
0.02940000000000964,0.2628415594436528,0.12019635876871769,0.42391844871873735,-0.001843802493204057,0.00871221696332247,-0.0006438225570794921,0.999960140785854,0.0068017845153808595,0.11927988433837891,0.004054027557373047,-119.2798843383789,4.054027557373047,-6.801784515380859,0.0,,-1.0854157628248373e-07,-4.221213997790407e-08,1.9696901559784763e-07,0.11954242016876966,2.2882292640595598e-07
0.032199999999988904,0.26284168956704956,0.12019642322257221,0.4239182545019207,-0.0018439952873926765,0.008712540757886064,-0.000643912872125756,0.9999601375510603,0.0068017845153808595,0.11927988433837891,0.004054027557373047,-119.2798843383789,4.054027557373047,-6.801784515380859,0.0,,2.1581820497384996e-08,2.2241714539572577e-08,2.752198968725139e-09,0.11954242016876966,3.1113396484547185e-08
0.036000000000001364,0.2628416493447181,0.12019641442002656,0.4239183023421155,-0.0018439375274081444,0.008712436386531658,-0.0006439423535597608,0.9999601385479578,0.0068017845153808595,0.11927988433837891,0.004054027557373047,-119.2798843383789,4.054027557373047,-6.801784515380859,0.0,,-1.8640510968115365e-08,1.3439168888851327e-08,5.059239377436242e-08,0.11954242016876966,5.5566808594660575e-08
0.03880000000000905,0.26284168268246555,0.12019642732455384,0.42391827142906446,-0.0018439660524828734,0.008712474855009233,-0.0006440020205036296,0.9999601381217631,0.0068017845153808595,0.11927988433837891,0.004054027557373047,-119.2798843383789,4.054027557373047,-6.801784515380859,0.0,,1.4697236483396381e-08,2.6343696168940056e-08,1.9679342710965386e-08,0.11954242016876966,3.601771255404667e-08
0.04200000000000159,0.26284171602020934,0.12019644022907947,0.4239182405160094,-0.001843990852420447,0.008712513321085563,-0.0006440617199036296,0.9999601377024321,0.0068017845153808595,0.11927988433837891,0.004054027557373047,-119.2798843383789,4.054027557373047,-6.801784515380859,0.0,,4.8034980271172145e-08,3.9248221797572036e-08,-1.1233712349234537e-08,0.11954242016876966,6.303949981613632e-08
0.04540000000000077,0.26284177518636487,0.12019648737150494,0.42391815845807235,-0.0018440822342526042,0.008712668553288097,-0.0006440919717517599,0.9999601361619,0.0068017845153808595,0.11927988433837891,0.004054027557373047,-119.2798843383789,4.054027557373047,-6.801784515380859,0.0,,1.0720113580164892e-07,8.639064727478107e-08,-9.329164940563572e-08,0.11954242016876966,1.6630922795366247e-07
