source,segment,flag,start,end,duration,axis,input_axis,slope,intercept,r2,n,mean_k_ctrl
target,OFF,0,0.02580000000000382,13.89779999999999,13.871999999999986,x,u_x,0.654138453825476,0.25632467708571616,0.911410034787366,3660,
target,OFF,0,0.02580000000000382,13.89779999999999,13.871999999999986,y,u_y,0.31800322671985626,0.08832203355327459,0.5854689683551614,3660,
target,OFF,0,0.02580000000000382,13.89779999999999,13.871999999999986,z,u_z,0.9877559293798653,0.42523088134092957,0.9885803473001503,3660,
target,ON,1,18.824399999999997,24.43180000000001,5.607400000000013,x,u_x,0.7710350699016283,0.23886397561381809,0.7782793692273826,1496,
target,ON,1,18.824399999999997,24.43180000000001,5.607400000000013,y,u_y,1.018969388922243,-0.048694027885980304,0.9938396518789576,1496,
target,ON,1,18.824399999999997,24.43180000000001,5.607400000000013,z,u_z,0.45479105023320526,0.4995111673665952,0.39397762985541285,1496,
current,OFF,0,0.02580000000000382,13.89779999999999,13.871999999999986,x,u_x,0.5625895125553025,0.25630389869550535,0.8541804139253045,3661,
current,OFF,0,0.02580000000000382,13.89779999999999,13.871999999999986,y,u_y,0.2813994601850764,0.0913081136846965,0.5608568354252016,3661,
current,OFF,0,0.02580000000000382,13.89779999999999,13.871999999999986,z,u_z,0.9374080982170446,0.4278642339619253,0.9425409721493851,3661,
current,ON,1,18.824399999999997,24.43180000000001,5.607400000000013,x,u_x,0.571630068389931,0.23637366579998426,0.5126206183559677,1496,
current,ON,1,18.824399999999997,24.43180000000001,5.607400000000013,y,u_y,0.736154389887911,-0.05792907326760156,0.8535330296410233,1496,
current,ON,1,18.824399999999997,24.43180000000001,5.607400000000013,z,u_z,0.14359262796145175,0.4848574293797946,0.08342087324404546,1496,
ee,OFF,0,0.02580000000000382,13.89779999999999,13.871999999999986,x,u_x,0.5635532104930702,0.2591455011106516,0.8067295232732894,3933,
ee,OFF,0,0.02580000000000382,13.89779999999999,13.871999999999986,y,u_y,0.2749037881605705,0.09280425646216683,0.5357118651177976,3933,
ee,OFF,0,0.02580000000000382,13.89779999999999,13.871999999999986,z,u_z,0.9529696217236423,0.42309395876418116,0.9283838932663171,3933,
ee,ON,1,18.824399999999997,24.43180000000001,5.607400000000013,x,u_x,0.5546938941995745,0.23829451763855994,0.43496827371783275,1584,
ee,ON,1,18.824399999999997,24.43180000000001,5.607400000000013,y,u_y,0.6696009544968602,-0.061001654564766826,0.752928137626441,1584,
ee,ON,1,18.824399999999997,24.43180000000001,5.607400000000013,z,u_z,0.13754481597372079,0.48214062763793136,0.06412349852887622,1584,
