t,x,y,z,qx,qy,qz,qw,u_x,u_y,u_z,delta_x,delta_y,delta_z,flag,k_ctrl,x_rel,y_rel,z_rel,u_norm,p_rel_norm
0.03900000000000148,0.28329375553131103,0.012855252195266075,0.6223777599334717,0.0,0.0,0.0,1.0,0.017682464599609374,0.012980425834655761,0.020275718688964845,-12.980425834655762,20.275718688964844,-17.682464599609375,0.0,,0.0,0.0,0.0,0.029870818159526125,0.0
0.04219999999999402,0.28329375553131103,0.012855252195266075,0.6223777599334717,0.0,0.0,0.0,1.0,0.017682464599609374,0.012980425834655761,0.020275718688964845,-12.980425834655762,20.275718688964844,-17.682464599609375,0.0,,0.0,0.0,0.0,0.029870818159526125,0.0
0.046599999999997976,0.28329375553131103,0.012855252195266075,0.6223777599334717,0.0,0.0,0.0,1.0,0.017682464599609374,0.012980425834655761,0.020275718688964845,-12.980425834655762,20.275718688964844,-17.682464599609375,0.0,,0.0,0.0,0.0,0.029870818159526125,0.0
0.04819999999999425,0.28329375553131103,0.012855252195266075,0.6223777599334717,0.0,0.0,0.0,1.0,0.017682464599609374,0.012980425834655761,0.020275718688964845,-12.980425834655762,20.275718688964844,-17.682464599609375,0.0,,0.0,0.0,0.0,0.029870818159526125,0.0
0.052199999999999136,0.28329375553131103,0.012855252195266075,0.6223777599334717,0.0,0.0,0.0,1.0,0.017682464599609374,0.012980425834655761,0.020275718688964845,-12.980425834655762,20.275718688964844,-17.682464599609375,0.0,,0.0,0.0,0.0,0.029870818159526125,0.0
0.054199999999994475,0.28329375553131103,0.012855252195266075,0.6223777599334717,0.0,0.0,0.0,1.0,0.017682464599609374,0.012980425834655761,0.020275718688964845,-12.980425834655762,20.275718688964844,-17.682464599609375,0.0,,0.0,0.0,0.0,0.029870818159526125,0.0
0.059799999999995634,0.28329375553131103,0.012855252195266075,0.6223777599334717,0.0,0.0,0.0,1.0,0.017682464599609374,0.012980425834655761,0.020275718688964845,-12.980425834655762,20.275718688964844,-17.682464599609375,0.0,,0.0,0.0,0.0,0.029870818159526125,0.0
0.06780000000000541,0.28329375553131103,0.012855252195266075,0.6223777599334717,0.0,0.0,0.0,1.0,0.017682464599609374,0.012980425834655761,0.020275718688964845,-12.980425834655762,20.275718688964844,-17.682464599609375,0.0,,0.0,0.0,0.0,0.029870818159526125,0.0
0.07219999999999516,0.28329375553131103,0.012855252195266075,0.6223777599334717,0.0,0.0,0.0,1.0,0.017682464599609374,0.012980425834655761,0.020275718688964845,-12.980425834655762,20.275718688964844,-17.682464599609375,0.0,,0.0,0.0,0.0,0.029870818159526125,0.0
0.08339999999999748,0.28329375553131103,0.012855252195266075,0.6223777599334717,0.0,0.0,0.0,1.0,0.017682464599609374,0.012980425834655761,0.020275718688964845,-12.980425834655762,20.275718688964844,-17.682464599609375,0.0,,0.0,0.0,0.0,0.029870818159526125,0.0
0.0875999999999948,0.28329375553131103,0.012855252195266075,0.6223777599334717,0.0,0.0,0.0,1.0,0.017682464599609374,0.012980425834655761,0.020275718688964845,-12.980425834655762,20.275718688964844,-17.682464599609375,0.0,,0.0,0.0,0.0,0.029870818159526125,0.0
0.08979999999999677,0.28329375553131103,0.012855252195266075,0.6223777599334717,0.0,0.0,0.0,1.0,0.017682464599609374,0.012980425834655761,0.020275718688964845,-12.980425834655762,20.275718688964844,-17.682464599609375,0.0,,0.0,0.0,0.0,0.029870818159526125,0.0
0.09279999999999688,0.28329375553131103,0.012855252195266075,0.6223777599334717,0.0,0.0,0.0,1.0,0.017682464599609374,0.012980425834655761,0.020275718688964845,-12.980425834655762,20.275718688964844,-17.682464599609375,0.0,,0.0,0.0,0.0,0.029870818159526125,0.0
0.09659999999999513,0.28329375553131103,0.012855252195266075,0.6223777599334717,0.0,0.0,0.0,1.0,0.017682464599609374,0.012980425834655761,0.020275718688964845,-12.980425834655762,20.275718688964844,-17.682464599609375,0.0,,0.0,0.0,0.0,0.029870818159526125,0.0
0.09999999999999432,0.28329375553131103,0.012855252195266075,0.6223777599334717,0.0,0.0,0.0,1.0,0.017682464599609374,0.012980425834655761,0.020275718688964845,-12.980425834655762,20.275718688964844,-17.682464599609375,0.0,,0.0,0.0,0.0,0.029870818159526125,0.0
0.102800000000002,0.28329375553131103,0.012855252195266075,0.6223777599334717,0.0,0.0,0.0,1.0,0.017682464599609374,0.012980425834655761,0.020275718688964845,-12.980425834655762,20.275718688964844,-17.682464599609375,0.0,,0.0,0.0,0.0,0.029870818159526125,0.0
0.10960000000000036,0.28329375553131103,0.012855252195266075,0.6223777599334717,0.0,0.0,0.0,1.0,0.017682464599609374,0.012980425834655761,0.020275718688964845,-12.980425834655762,20.275718688964844,-17.682464599609375,0.0,,0.0,0.0,0.0,0.029870818159526125,0.0
0.11260000000000048,0.28329375553131103,0.012855252195266075,0.6223777599334717,0.0,0.0,0.0,1.0,0.017682464599609374,0.012980425834655761,0.020275718688964845,-12.980425834655762,20.275718688964844,-17.682464599609375,0.0,,0.0,0.0,0.0,0.029870818159526125,0.0
0.12259999999999138,0.28329375553131103,0.012855252195266075,0.6223777599334717,0.0,0.0,0.0,1.0,0.017682464599609374,0.012980425834655761,0.020275718688964845,-12.980425834655762,20.275718688964844,-17.682464599609375,0.0,,0.0,0.0,0.0,0.029870818159526125,0.0
0.12600000000000477,0.28329375553131103,0.012855252195266075,0.6223777599334717,0.0,0.0,0.0,1.0,0.017682464599609374,0.012980425834655761,0.020275718688964845,-12.980425834655762,20.275718688964844,-17.682464599609375,0.0,,0.0,0.0,0.0,0.029870818159526125,0.0
0.13119999999999266,0.28329375553131103,0.012855252195266075,0.6223777599334717,0.0,0.0,0.0,1.0,0.017682464599609374,0.012980425834655761,0.020275718688964845,-12.980425834655762,20.275718688964844,-17.682464599609375,0.0,,0.0,0.0,0.0,0.029870818159526125,0.0
0.1325999999999965,0.28329375553131103,0.012855252195266075,0.6223777599334717,0.0,0.0,0.0,1.0,0.017682464599609374,0.012980425834655761,0.020275718688964845,-12.980425834655762,20.275718688964844,-17.682464599609375,0.0,,0.0,0.0,0.0,0.029870818159526125,0.0
0.13599999999999568,0.28329375553131103,0.012855252195266075,0.6223777599334717,0.0,0.0,0.0,1.0,0.017682464599609374,0.012980425834655761,0.020275718688964845,-12.980425834655762,20.275718688964844,-17.682464599609375,0.0,,0.0,0.0,0.0,0.029870818159526125,0.0
0.1414000000000044,0.28329375553131103,0.012855252195266075,0.6223777599334717,0.0,0.0,0.0,1.0,0.017682464599609374,0.012980425834655761,0.020275718688964845,-12.980425834655762,20.275718688964844,-17.682464599609375,0.0,,0.0,0.0,0.0,0.029870818159526125,0.0
0.147199999999998,0.28329375553131103,0.012855252195266075,0.6223777599334717,0.0,0.0,0.0,1.0,0.017682464599609374,0.012980425834655761,0.020275718688964845,-12.980425834655762,20.275718688964844,-17.682464599609375,0.0,,0.0,0.0,0.0,0.029870818159526125,0.0
