t,x,y,z,qx,qy,qz,qw,u_x,u_y,u_z,delta_x,delta_y,delta_z,flag,k_ctrl,x_rel,y_rel,z_rel,u_norm,p_rel_norm
0.024999999999991473,0.28953201172542053,0.012557432451390786,0.6177898311940851,-0.0010015589890441884,0.008487093514766458,0.0010133413046102516,0.9999629689456822,0.017682464599609374,0.012980425834655761,0.020275718688964845,-12.980425834655762,20.275718688964844,-17.682464599609375,0.0,,0.0,0.0,0.0,0.029870818159526125,0.0
0.02779999999999916,0.28953196931807545,0.012557461419253494,0.6177897891997679,-0.0010014942648339609,0.00848742093491174,0.001013392945994982,0.9999629661791721,0.017682464599609374,0.012980425834655761,0.020275718688964845,-12.980425834655762,20.275718688964844,-17.682464599609375,0.0,,-4.240734507998667e-08,2.8967862707521275e-08,-4.199431724583036e-08,0.029870818159526125,6.634035474368762e-08
0.030599999999992633,0.28953188797642604,0.012557483494875238,0.6177898188148707,-0.0010013558404523126,0.008487599616196809,0.0010134309045069768,0.9999629647627145,0.017682464599609374,0.012980425834655761,0.020275718688964845,-12.980425834655762,20.275718688964844,-17.682464599609375,0.0,,-1.2374899449607568e-07,5.104348445132689e-08,-1.2379214431312846e-08,0.029870818159526125,1.3443398340322674e-07
0.036000000000001364,0.2895318459507769,0.012557509056154251,0.6177897910211131,-0.0010012549987787835,0.008487867550072055,0.0010134747814323723,0.9999629625449871,0.017682464599609374,0.012980425834655761,0.020275718688964845,-12.980425834655762,20.275718688964844,-17.682464599609375,0.0,,-1.6577464362343974e-07,7.660476346489642e-08,-4.017297206004855e-08,0.029870818159526125,1.869849992329027e-07
0.03900000000000148,0.2895318042795349,0.012557529230721964,0.6177897703275621,-0.0010011729956208172,0.008488105709750112,0.0010135095021336013,0.9999629605703314,0.017682464599609374,0.012980425834655761,0.020275718688964845,-12.980425834655762,20.275718688964844,-17.682464599609375,0.0,,-2.0744588563603727e-07,9.677933117749338e-08,-6.086652304393425e-08,0.029870818159526125,2.368644507686634e-07
0.04080000000000439,0.2895316600259161,0.012557567503345246,0.6177897847871634,-0.0010010119191902623,0.008488433202526083,0.001013580811432945,0.999962957879362,0.017682464599609374,0.012980425834655761,0.020275718688964845,-12.980425834655762,20.275718688964844,-17.682464599609375,0.0,,-3.5169950440838704e-07,1.3505195445989715e-07,-4.6406921749841956e-08,0.029870818159526125,3.795855294802993e-07
0.04420000000000357,0.28953164087905264,0.012557579116378215,0.617789801156408,-0.001000955677475246,0.008488582059676099,0.0010135989771638358,0.9999629566536259,0.017682464599609374,0.012980425834655761,0.020275718688964845,-12.980425834655762,20.275718688964844,-17.682464599609375,0.0,,-3.708463678919749e-07,1.4666498742918477e-07,-3.003767712339567e-08,0.029870818159526125,3.999248794001722e-07
0.04739999999999611,0.28953157758609516,0.012557598353393833,0.6177897718006958,-0.0010008647538755288,0.00848879046378714,0.001013635480849839,0.9999629549384909,0.017682464599609374,0.012980425834655761,0.020275718688964845,-12.980425834655762,20.275718688964844,-17.682464599609375,0.0,,-4.341393253781689e-07,1.6590200304679448e-07,-5.93933893178189e-08,0.029870818159526125,4.68538155489399e-07
0.05079999999999529,0.2895313512134894,0.012557618499167872,0.6177898192443336,-0.0010007411763248606,0.008488998884919403,0.0010136847438380237,0.9999629532429039,0.017682464599609374,0.012980425834655761,0.020275718688964845,-12.980425834655762,20.275718688964844,-17.682464599609375,0.0,,-6.605119311497987e-07,1.8604777708534914e-07,-1.19497515216338e-08,0.029870818159526125,6.863181354962616e-07
0.054000000000002046,0.2895315556635135,0.01255764296736468,0.617789710067852,-0.0010007174685484417,0.00848926676439858,0.001013706926216528,0.9999629509699941,0.017682464599609374,0.012980425834655761,0.020275718688964845,-12.980425834655762,20.275718688964844,-17.682464599609375,0.0,,-4.5606190701708016e-07,2.1051597389430687e-07,-1.2112623315463367e-07,0.029870818159526125,5.167020443688558e-07
