source,segment,flag,start,end,duration,axis,input_axis,slope,intercept,r2,n,mean_k_ctrl
target,OFF,0,25.8442,44.055800000000005,18.211600000000004,x,u_x,0.9826505406736428,0.23671091249437431,0.9768675650462818,4625,
target,OFF,0,25.8442,44.055800000000005,18.211600000000004,y,u_y,0.24404228320652355,0.12143237688736448,0.13268347903571642,4625,
target,OFF,0,25.8442,44.055800000000005,18.211600000000004,z,u_z,0.8783058461130462,0.4517580566632156,0.4517703273438757,4625,
target,ON,1,11.798000000000002,23.77600000000001,11.978000000000009,x,u_x,1.064605218000961,0.2941842716054774,0.9278334150130719,3101,
target,ON,1,11.798000000000002,23.77600000000001,11.978000000000009,y,u_y,0.5410426804894369,-0.07737488775056367,0.48643917390495917,3101,
target,ON,1,11.798000000000002,23.77600000000001,11.978000000000009,z,u_z,0.5740943584230751,0.439094943916442,0.2144804839085972,3101,
current,OFF,0,25.8442,44.055800000000005,18.211600000000004,x,u_x,0.8519829807953224,0.23744216700053192,0.8576628144595936,4625,
current,OFF,0,25.8442,44.055800000000005,18.211600000000004,y,u_y,0.05909900301021276,0.12400626540771095,0.011098958421870253,4625,
current,OFF,0,25.8442,44.055800000000005,18.211600000000004,z,u_z,0.7071381111294619,0.45347425536180497,0.3135191220929534,4625,
current,ON,1,11.798000000000002,23.77600000000001,11.978000000000009,x,u_x,0.9587845932045574,0.2919791561941829,0.8215134076380014,3101,
current,ON,1,11.798000000000002,23.77600000000001,11.978000000000009,y,u_y,0.38068786241622626,-0.08052383605336966,0.30771461400582023,3101,
current,ON,1,11.798000000000002,23.77600000000001,11.978000000000009,z,u_z,0.36096318783272474,0.43807265388307026,0.08732160608154693,3101,
ee,OFF,0,25.8442,44.055800000000005,18.211600000000004,x,u_x,0.8200574636469016,0.23947318494599262,0.797598549836043,5002,
ee,OFF,0,25.8442,44.055800000000005,18.211600000000004,y,u_y,0.02017769341415766,0.12585135253148366,0.001229252917559931,5002,
ee,OFF,0,25.8442,44.055800000000005,18.211600000000004,z,u_z,0.6725292662003531,0.4504432395492205,0.28511498574807326,5002,
ee,ON,1,11.798000000000002,23.77600000000001,11.978000000000009,x,u_x,0.9407769992203882,0.29338264634703143,0.7800154306104036,3286,
ee,ON,1,11.798000000000002,23.77600000000001,11.978000000000009,y,u_y,0.3571872586303424,-0.08156406238535427,0.27163505247604125,3286,
ee,ON,1,11.798000000000002,23.77600000000001,11.978000000000009,z,u_z,0.3313951424697471,0.43456481533594177,0.07358812108552792,3286,
