state,flag,start,end,duration
OFF,0,0.039400000000000546,10.502399999999994,10.462999999999994
ON,1,10.502399999999994,19.614400000000003,9.112000000000009
OFF,0,19.614400000000003,35.877399999999994,16.26299999999999
