t,x,y,z,qx,qy,qz,qw,u_x,u_y,u_z,delta_x,delta_y,delta_z,flag,k_ctrl,x_rel,y_rel,z_rel,u_norm,p_rel_norm
0.011800000000008026,0.25036004042625293,0.15461080837249686,0.43373776769638195,0.0,0.0,0.0,1.0,4.094696044921875e-05,0.0001142578125,5.3955078125e-05,-0.1142578125,0.053955078125,-0.04094696044921875,0.0,,0.0,0.0,0.0,0.00013282564414596263,0.0
0.0146000000000015,0.25036004042625293,0.15461080837249686,0.43373776769638195,0.0,0.0,0.0,1.0,4.094696044921875e-05,0.0001142578125,5.3955078125e-05,-0.1142578125,0.053955078125,-0.04094696044921875,0.0,,0.0,0.0,0.0,0.00013282564414596263,0.0
0.017800000000008254,0.25036004042625293,0.15461080837249686,0.43373776769638195,0.0,0.0,0.0,1.0,4.094696044921875e-05,0.0001142578125,5.3955078125e-05,-0.1142578125,0.053955078125,-0.04094696044921875,0.0,,0.0,0.0,0.0,0.00013282564414596263,0.0
0.02559999999999718,0.25036004042625293,0.15461080837249686,0.43373776769638195,0.0,0.0,0.0,1.0,4.094696044921875e-05,0.0001142578125,5.3955078125e-05,-0.1142578125,0.053955078125,-0.04094696044921875,0.0,,0.0,0.0,0.0,0.00013282564414596263,0.0
0.02740000000000009,0.25036004042625293,0.15461080837249686,0.43373776769638195,0.0,0.0,0.0,1.0,4.094696044921875e-05,0.0001142578125,5.3955078125e-05,-0.1142578125,0.053955078125,-0.04094696044921875,0.0,,0.0,0.0,0.0,0.00013282564414596263,0.0
0.039400000000000546,0.25036004042625293,0.15461080837249686,0.43373776769638195,0.0,0.0,0.0,1.0,4.094696044921875e-05,0.0001142578125,5.3955078125e-05,-0.1142578125,0.053955078125,-0.04094696044921875,0.0,,0.0,0.0,0.0,0.00013282564414596263,0.0
0.039400000000000546,0.25036004042625293,0.15461080837249686,0.43373776769638195,0.0,0.0,0.0,1.0,4.094696044921875e-05,0.0001142578125,5.3955078125e-05,-0.1142578125,0.053955078125,-0.04094696044921875,0.0,,0.0,0.0,0.0,0.00013282564414596263,0.0
0.05660000000000309,0.25036004042625293,0.15461080837249686,0.43373776769638195,0.0,0.0,0.0,1.0,4.094696044921875e-05,0.0001142578125,5.3955078125e-05,-0.1142578125,0.053955078125,-0.04094696044921875,0.0,,0.0,0.0,0.0,0.00013282564414596263,0.0
0.0589999999999975,0.25036004042625293,0.15461080837249686,0.43373776769638195,0.0,0.0,0.0,1.0,4.094696044921875e-05,0.0001142578125,5.3955078125e-05,-0.1142578125,0.053955078125,-0.04094696044921875,0.0,,0.0,0.0,0.0,0.00013282564414596263,0.0
0.06239999999999668,0.25036004042625293,0.15461080837249686,0.43373776769638195,0.0,0.0,0.0,1.0,4.094696044921875e-05,0.0001142578125,5.3955078125e-05,-0.1142578125,0.053955078125,-0.04094696044921875,0.0,,0.0,0.0,0.0,0.00013282564414596263,0.0
0.06560000000000343,0.25036004042625293,0.15461080837249686,0.43373776769638195,0.0,0.0,0.0,1.0,4.094696044921875e-05,0.0001142578125,5.3955078125e-05,-0.1142578125,0.053955078125,-0.04094696044921875,0.0,,0.0,0.0,0.0,0.00013282564414596263,0.0
0.07160000000000366,0.25036004042625293,0.15461080837249686,0.43373776769638195,0.0,0.0,0.0,1.0,4.094696044921875e-05,0.0001142578125,5.3955078125e-05,-0.1142578125,0.053955078125,-0.04094696044921875,0.0,,0.0,0.0,0.0,0.00013282564414596263,0.0
0.07659999999999911,0.25036004042625293,0.15461080837249686,0.43373776769638195,0.0,0.0,0.0,1.0,4.094696044921875e-05,0.0001142578125,5.3955078125e-05,-0.1142578125,0.053955078125,-0.04094696044921875,0.0,,0.0,0.0,0.0,0.00013282564414596263,0.0
